job_title,text_clean,category,label,word_count
Buyer,buyer memantau kualitas produksi sesuai standar iso spesifikasi pelanggan posisi pengalaman,Operations & Supply Chain,7,11
Geotechnical Engineer,geotechnical engineer mengoptimalkan proses kimia pabrik troubleshooting posisi full time,Engineering,1,10
Chemical Engineer,chemical engineer pengujian kualitas material produk posisi remote work available,Engineering,1,10
Process Engineer,process engineer merancang instalasi listrik sistem kelistrikan industri posisi medan,Engineering,1,10
Recruiter,recruiter evaluasi kinerja karyawan program talent management posisi medan,Human Resources,4,9
Instrumentation Engineer,instrumentation engineer merancang sistem mekanikal analisis teknik posisi pengalaman,Engineering,1,9
Drafter,drafter perawatan preventif korektif mesin produksi posisi pengalaman,Engineering,1,8
Inventory Manager,inventory manager mengoptimalkan proses operasional metodologi lean posisi jakarta,Operations & Supply Chain,7,9
Radiografer,radiografer fisioterapi rehabilitasi medis pasien posisi pengalaman,Healthcare,3,7
CFO,cfo audit internal proses keuangan operasional perusahaan posisi medan,Finance & Accounting,2,9
Fisioterapis,fisioterapis mempromosikan produk farmasi dokter tenaga medis posisi fresh graduate welcome,Healthcare,3,11
Backend Developer,backend developer membangun rest api python flask django mengelola database postgresql posisi jakarta,IT & Software,5,13
Industrial Engineer,industrial engineer merancang sistem mekanikal analisis teknik posisi full time,Engineering,1,10
Academic Advisor,academic advisor mengelola program pendidikan pelatihan lembaga posisi surabaya,Education,0,9
Coach,coach mengembangkan assessment evaluasi pembelajaran posisi bali,Education,0,7
Program Coordinator,program coordinator mengembangkan assessment evaluasi pembelajaran posisi jakarta,Education,0,8
Trade Marketing,trade marketing merancang mengeksekusi strategi pemasaran digital platform posisi hybrid working,Marketing & Sales,6,11
Education Consultant,education consultant pengajaran penelitian perguruan posisi surabaya,Education,0,7
Dokter Umum,dokter pelayanan kebidanan hamil melahirkan posisi hybrid working,Healthcare,3,8
Content Writer,content writer mengelola campaign iklan google ads meta ads target roas posisi full time,Marketing & Sales,6,14
Production Planner,production planner mengelola pengadaan barang jasa negosiasi vendor posisi hybrid working,Operations & Supply Chain,7,11
Controller Keuangan,controller keuangan menghitung biaya produksi menganalisis variance anggaran posisi fresh graduate welcome,Finance & Accounting,2,12
Copywriter,copywriter menganalisis data penjualan laporan performa marketing posisi surabaya,Marketing & Sales,6,9
Operations Analyst,operations analyst mengelola proses impor ekspor dokumen kepabeanan posisi hybrid working,Operations & Supply Chain,7,11
Bookkeeper,bookkeeper mengelola risiko keuangan kepatuhan regulasi ojk posisi pengalaman,Finance & Accounting,2,9
Payroll Specialist,payroll specialist menghitung biaya produksi menganalisis variance anggaran posisi fresh graduate welcome,Finance & Accounting,2,12
Frontend Developer,frontend developer pengujian kualitas perangkat lunak menulis test case otomatis posisi hybrid working,IT & Software,5,13
Education Technology,education technology mengelola program pendidikan pelatihan lembaga posisi jakarta,Education,0,9
Fasilitator,fasilitator pengajaran penelitian perguruan posisi medan,Education,0,6
Academic Advisor,academic advisor riset publikasi ilmiah bidang pendidikan posisi hybrid working,Education,0,10
Market Research Analyst,market research analyst merancang mengeksekusi strategi pemasaran digital platform posisi bandung,Marketing & Sales,6,11
Treasury Analyst,treasury analyst menghitung biaya produksi menganalisis variance anggaran posisi pengalaman,Finance & Accounting,2,10
Operations Manager,operations manager mengelola pengadaan barang jasa negosiasi vendor posisi hybrid working,Operations & Supply Chain,7,11
Workforce Planning,workforce planning mengembangkan program pelatihan pengembangan karyawan posisi fresh graduate welcome,Human Resources,4,11
Market Research Analyst,market research analyst mengelola campaign iklan google ads meta ads target roas posisi bali,Marketing & Sales,6,14
